name,count(regions),count(prefectures),count(tower_id)
EiaSNgqfWG,6,30,76
XXOsfAbtCm,6,32,80
bNhDNxmBoW,6,31,76
kKNTKcBBIF,6,33,82
zjKDESgBgP,6,32,79
RPsTwWPpbu,6,31,75
TWTZnhNORc,6,31,75
WGBmXsYiOj,6,29,72
YUOLwOzwDb,6,33,82
oPbUuvHBgi,6,32,71
pRrFfpCclm,6,34,81
pjNKPqeNXC,6,32,79
ytrjMrxzlO,6,30,76
FXlARdgXWR,6,30,81
NHDTQUpmZl,6,32,75
QGbYfjEEUN,6,33,78
UWgavSMUps,6,30,77
aRWorldfhg,6,33,78
fgUGpjgzXk,6,31,78
jcdTKCpPut,6,32,85
kFdPLjiokX,6,33,80
lsneLOyaWq,6,32,84
oglAFNPvjT,6,32,77
siAtejNJZH,6,29,73
swDofCoafd,6,33,78
YtCUJsglOM,6,31,76
povJVGLkoa,6,30,72
bQdsaYgNLX,6,32,76
cTTmiuNsBv,6,31,83
eWAQvXyzsn,6,30,82
tmRCipLLwy,6,31,77
zeBKFbSiTi,6,31,68
GVwjVxGtco,6,30,70
HDZKodHwjE,6,31,74
QOpgXgWkUp,6,33,81
eZdziMulBE,6,31,79
olPjbxYqCi,6,29,77
HBIYQxNGSW,6,32,80
VLTcsprApa,6,31,77
qVBxYOXntk,6,30,71
qztazmUTYq,6,33,80
wKURKPTLyw,6,30,77
HTNQoGUbGf,6,29,73
rGFlLwfpcW,6,32,75
sazpsvTcHe,6,31,80
HYvKBZhHtl,6,29,74
IJhqDwilXs,6,32,76
IneeuwqmOb,6,31,77
QiNMmMRHhs,6,33,78
tQEElXPRrD,6,33,78
AsvtszbEnV,6,32,77
DqAbgayQaH,6,31,76
OtFfOxcGMu,6,30,73
UYzlVizviG,6,31,80
XgRToouYOC,6,30,75
ZrXuysitGQ,6,31,71
eEZhgiwXcE,6,31,81
sktMIFqsds,6,31,78
FgfTesnjYL,6,30,74
GtIDsRFBJR,6,32,81
izSmTsWlnn,6,31,72
lMZGCsCnsS,6,31,76
wmJuEMcdRd,6,30,78
DFnBUVeJwU,6,33,75
YdgolrVLkw,6,31,78
dBwyGrqwqo,6,32,79
xMrwhHCgcC,6,32,79
BQtMZqAokF,6,31,79
IQlbyHMuJm,6,32,73
IvBPPMxgyU,6,32,73
LOaWMxZFCg,6,33,87
mCndLeBGMM,6,32,77
CRBrRLxhvz,6,32,73
CSVicEEHdq,6,30,75
RXOPashdsl,6,31,77
dGesslJJdz,6,30,72
qcskJLpqeJ,6,30,72
sOJeGrKwbe,6,32,84
upWCirugqI,6,32,76
xPduZOWJSH,6,32,77
DgENjcsCZV,6,33,72
FotIRBcYnB,6,31,67
KbUQFLqqFj,6,32,81
RnckHGrMqL,6,29,76
tJJxMfkxYb,6,32,78
vfIkaweSRw,6,29,68
zgHOvuGdmZ,6,31,75
AlmSecyCrd,6,30,76
XOSvLGIFrh,6,32,81
blEUAqlsRX,6,33,80
lCziTEfqUQ,6,32,77
oqYPyoLIda,6,34,75
tFPWYsBmKO,6,30,67
IcBmDOrMRa,6,32,74
PcqSMaYSbu,6,28,75
SwTJzGoKSI,6,29,68
YeTLsGkHWx,6,29,74
fNgbhjgzdh,6,32,72
njIblDaQxo,6,34,77
sBFhayyZHa,6,32,79
sQGOjnDvvt,6,31,77
thYTDgQYkj,6,32,77
BPZdpnMrQX,6,32,78
CScWfctHnj,6,32,77
NgGnrxtAfv,6,31,77
UuwKOhOOEp,6,33,76
UyJLCDWzzs,6,31,75
bQTArhpSSa,6,31,75
HdAIRIgWMB,6,30,70
ixgtPfMtcF,6,31,79
AjjCWKeWXU,6,33,82
GjGNnFAHAd,6,32,77
VJFFcPyvny,6,30,73
hwNaQjPFNy,6,33,75
pUGyOhdpWf,6,33,83
pvMOTvkwXO,6,33,80
EYCADfAwdo,6,33,76
MeTEPQRzdm,6,32,80
GZoAMDsevu,6,29,74
UMzahSeHAN,6,32,77
YagmkwZKJE,6,31,76
MgqQtXBeFP,6,31,74
TsdtSZAAjD,6,30,71
nFeAuUzDCe,6,32,74
oSbAqwiOsw,6,32,71
qHbCFZbeqv,6,32,76
LOPoEfCCUP,6,31,71
OVOmVmrpdy,6,32,75
WkYMqONJIk,6,31,72
ppdbEHpImH,6,29,73
vifDnMSCuh,6,31,73
AOKYtuwRQi,6,29,74
BgBqtHgCwv,6,31,72
FOnSzgkGYP,6,32,75
GTSqfBzCft,6,30,78
KQfUwIVvVV,6,33,78
NFKHIoqbNt,6,32,83
UUXpmppfzo,6,31,79
XrjUlgrTZi,6,32,76
xpeSzjfzvc,6,30,75
JgpavfITSP,6,32,75
QvkeuBfZDR,6,28,81
RiBAkZqeyg,6,32,72
friQLpxJvN,6,32,78
XASKSjEQKp,6,33,82
XnMzZAZGDz,6,31,75
YosNCLWrFL,6,33,82
amzyXHglBx,6,32,81
dJSvXqUVSY,6,30,79
ptudOnjdRU,6,29,73
uXZrufHOmE,6,30,75
zZkqaZFAtz,6,33,78
