subscriber_id,antenna_id,tower_id,regions,prefectures
OBrvsvlwmE,a290,t23,KARA,KPELE
ZjWSSiDtdL,a131,t93,PLATEAUX,SOTOUBOUA
ehjWPxoldL,a92,t10,PLATEAUX,GOLFE
WVHwlmNkLa,a121,t72,MARITIME,AKEBOU
JvMaGtoVsW,a137,t51,CENTRALE,SOTOUBOUA
ybfXwoTOIB,a228,t29,MARITIME,MOYEN-MONO
qcskJLpqeJ,a294,t19,PLATEAUX,EST-MONO
BACHlCiCAb,a273,t2,PLATEAUX,TONE
czTZNuGAUb,a141,t36,KARA,BLITTA
UxAJkiBjlv,a115,t22,CENTRALE,DANKPEN
UsUqLqafHD,a265,t56,PLATEAUX,KPELE
JqcGbIMhFn,a25,t98,MARITIME,DOUFELGOU
dDsxIrEWmd,a57,t94,CENTRALE,VO
CzkSkJOneX,a209,t58,PLATEAUX,KOZAH
YtvkGlMWwe,a51,t21,KARA,KOZAH
JhVHCvTQWa,a197,t34,PLATEAUX,WAWA
vhQQkOYkyg,a111,t39,CENTRALE,KOZAH
OoiUuLBDLg,a248,t54,CENTRALE,BINAH
KQfUwIVvVV,a157,t28,SAVANES,AGOU
LpJzZrzCrS,a183,t11,SAVANES,BASSAR
iqgEhaVoXu,a122,t59,PLATEAUX,WAWA
ZuLaiYuunH,a10,t2,PLATEAUX,BLITTA
pIXwDvrwnG,a111,t3,PLATEAUX,ASSOLI
MeTEPQRzdm,a118,t86,SAVANES,ZIO
lrfyjRJVDe,a159,t10,SAVANES,ASSOLI
ZOLjLzXgtQ,a197,t27,MARITIME,BASSAR
kEPdsLrUmM,a175,t1,KARA,ZIO
RVogboTWCz,a176,t61,PLATEAUX,ZIO
YagmkwZKJE,a40,t70,MARITIME,VO
sBFhayyZHa,a153,t12,PLATEAUX,BAS-MONO
RTkddnKvSG,a72,t30,KARA,KPELE
XstqtfmwLR,a251,t67,SAVANES,ASSOLI
aMtpbeWdkc,a87,t79,CENTRALE,LOME COMMUNE
kPLmQfcQpz,a177,t61,CENTRALE,KPENDJAL
vLPMuPwesn,a122,t57,KARA,ZIO
SeqYxJSnsT,a88,t7,SAVANES,ZIO
pCfiQabAHL,a131,t42,MARITIME,PLAINE DU MO
FVNaHqwvlv,a280,t3,PLATEAUX,AKEBOU
NAbSoyFhvh,a20,t53,PLATEAUX,WAWA
bQXhpQtWNp,a215,t89,PLATEAUX,BINAH
laUkcybqhJ,a9,t12,KARA,ANIE
FuBhJGmXwd,a139,t99,CENTRALE,ASSOLI
DHgtnkLApc,a277,t74,SAVANES,BAS-MONO
invvrEGQVb,a87,t75,PLATEAUX,PLAINE DU MO
KbxhvMwzfe,a192,t59,PLATEAUX,BASSAR
FgfTesnjYL,a113,t34,SAVANES,ANIE
njIblDaQxo,a78,t69,MARITIME,TCHAMBA
FqzmWqeIBN,a87,t50,CENTRALE,TCHAOUDJO
oRdpGMZqVv,a86,t97,MARITIME,DOUFELGOU
xpeSzjfzvc,a210,t92,SAVANES,WAWA
zjKDESgBgP,a115,t21,KARA,AMOU
ruNGTTGsry,a42,t85,SAVANES,CINKASSE
oqYPyoLIda,a290,t75,MARITIME,TCHAMBA
HjHbCoMcrt,a251,t43,KARA,OTI
FanoFIBhck,a194,t3,MARITIME,AMOU
PDZFqfSCnw,a235,t84,CENTRALE,KERAN
PGROltGVku,a100,t6,MARITIME,CINKASSE
HwQqxNPTQK,a134,t1,SAVANES,GOLFE
QzTXATgcEd,a70,t65,SAVANES,BAS-MONO
PcqSMaYSbu,a130,t96,PLATEAUX,LOME COMMUNE
qCPWbXygQa,a132,t18,SAVANES,AMOU
HugrCcAxzg,a128,t53,PLATEAUX,MOYEN-MONO
UGDojtMoWq,a8,t7,SAVANES,AVE
bNhDNxmBoW,a151,t70,CENTRALE,OGOU
dRjgCnDfuC,a250,t46,PLATEAUX,BINAH
dSbpmigxHS,a143,,SAVANES,YOTO
vybkprKTvN,a11,t25,PLATEAUX,DANYI
tnJHBXEkFA,a239,t34,SAVANES,EST-MONO
wKAFYQUzPs,a115,t55,SAVANES,OTI-SUD
okVSvsHYTv,a53,t71,KARA,VO
ldesjNoHDj,a90,t63,PLATEAUX,DANKPEN
avrINItACP,a246,t94,PLATEAUX,CINKASSE
zIxnsQiuyY,a60,t11,MARITIME,KOZAH
YJYkzOBbqo,a253,t12,PLATEAUX,TCHAMBA
eWzgTtbsZd,a244,t49,SAVANES,TCHAOUDJO
DZrnxkCrGa,a166,t79,MARITIME,TCHAOUDJO
IcVOSRVSEB,a83,t67,SAVANES,KPENDJAL
RYePfXAeXq,a74,t54,PLATEAUX,LACS
HAuViSJSst,a47,t69,CENTRALE,ZIO
YhCoydLtxG,a5,t81,CENTRALE,TONE
PvvGKdxbUZ,a59,t41,CENTRALE,TANDJOARE
hAiLgrTSEW,a252,t31,CENTRALE,OTI-SUD
qlmeAxeFWJ,a235,t82,MARITIME,KPENDJAL
uFcmGgDnWx,a35,t33,MARITIME,TONE
nyeSlFHLXJ,a245,t73,KARA,BINAH
mMSHSilfqR,a268,t9,KARA,TCHAOUDJO
wmyAJISQoE,a144,t88,SAVANES,AGOU
wIqwZGAkRq,a265,t74,KARA,HAHO
JDLRYykUvZ,a231,t95,PLATEAUX,OTI
tCEjDGYMpP,a277,t1,MARITIME,AGOU
JEJagTmVmX,a67,t19,KARA,WAWA
xMrwhHCgcC,a50,t11,SAVANES,GOLFE
hxEJezKbVe,a53,t72,SAVANES,DANKPEN
cwpKFRUvkr,a220,t41,SAVANES,TONE
cprHaXwjPO,a167,t23,CENTRALE,KPELE
SPCbSYGqCR,a80,t35,PLATEAUX,TANDJOARE
AasVYySWrX,a130,t58,KARA,DOUFELGOU
CRBrRLxhvz,a286,t29,CENTRALE,BASSAR
PYhRrrqufn,a234,t14,CENTRALE,GOLFE
DYponYOtdu,a114,t1,CENTRALE,KOZAH
NtbwWxPCpd,a85,t49,MARITIME,YOTO
jTJlZyVkFP,a232,t94,KARA,OTI
UuwKOhOOEp,a175,t39,MARITIME,DANKPEN
IDWhVKjnxW,a235,t27,MARITIME,EST-MONO
qIiquzKsbI,a41,t57,CENTRALE,TCHAMBA
AxyvKBckMr,a41,t19,KARA,ASSOLI
VLDiQDZXWF,a207,t32,PLATEAUX,HAHO
DFnBUVeJwU,a44,t11,SAVANES,OTI-SUD
HojSyqGASE,a114,t51,MARITIME,AKEBOU
xceGzedNsY,a289,t87,MARITIME,ANIE
oxnZdbxnvn,a15,t85,CENTRALE,EST-MONO
vtGDCFMTlc,a27,t64,PLATEAUX,LOME COMMUNE
DmeZkMpElS,a293,t76,PLATEAUX,BINAH
RHwQjmZACX,a133,t60,CENTRALE,OGOU
lNHUBOgUUq,a34,t8,MARITIME,PLAINE DU MO
mSLozkLtyf,a111,t39,SAVANES,ZIO
AjjCWKeWXU,a87,t84,SAVANES,BLITTA
JshuzUxeoH,a104,t97,CENTRALE,AGOE-NYIVE
EjCJZeCefL,a218,t18,CENTRALE,BLITTA
EGEVAFOhDn,a125,t3,KARA,AGOU
MkJdKpHqVq,a245,t46,SAVANES,KERAN
OUrWUWrtPT,a180,t40,CENTRALE,GOLFE
cSHNJFyQnS,a88,t31,MARITIME,LACS
YmKryGrJKf,a258,t95,CENTRALE,KOZAH
AaKCsooJgY,a64,t42,SAVANES,GOLFE
LySPboXRJq,a73,t62,MARITIME,TANDJOARE
amzyXHglBx,a101,t23,MARITIME,AVE
tonLBGQuSV,a223,t16,PLATEAUX,AMOU
hueAPdgLdU,a159,t88,PLATEAUX,KERAN
wOAlyANdZh,a31,t31,PLATEAUX,AGOE-NYIVE
cMOknwOyzu,a295,t97,MARITIME,AMOU
sktMIFqsds,a14,t75,KARA,SOTOUBOUA
XKcjorfNRw,a2,t83,MARITIME,KLOTO
ROuebiUUVa,a47,t6,KARA,GOLFE
IVyaRiYjnT,a35,t18,PLATEAUX,DANKPEN
QsmkpTqIke,a32,t45,SAVANES,BAS-MONO
eFcLLNOkXl,a32,t64,PLATEAUX,SOTOUBOUA
LOaWMxZFCg,a245,t53,SAVANES,AVE
SAepputQIJ,a156,t85,CENTRALE,ASSOLI
IvBPPMxgyU,a219,t43,CENTRALE,KPELE
GtPzYvLGKa,a11,t50,PLATEAUX,AMOU
TTukgLnomN,a166,t42,KARA,AKEBOU
izSmTsWlnn,a16,t13,MARITIME,ASSOLI
StyaQWIxhf,a184,t7,KARA,PLAINE DU MO
vfIkaweSRw,a250,t0,SAVANES,OTI
xplsWnyETU,a137,t5,SAVANES,KPENDJAL
qMbaqKEvTx,a192,t13,CENTRALE,ASSOLI
WbnHoIFCmD,a211,t8,KARA,HAHO
DTuGRpTYSK,a282,t38,KARA,KPELE
XmyGROxnSY,a2,t66,CENTRALE,KOZAH
jEKQLrKUTH,a38,t59,PLATEAUX,WAWA
SkDpHjHaTE,a213,t97,SAVANES,AGOE-NYIVE
XIMdjewycb,a159,t66,CENTRALE,KPELE
JYTaDlyhoJ,a158,t5,MARITIME,YOTO
MUIjVCDoEa,a36,t25,PLATEAUX,ZIO
bPbNEGFKQC,a271,t88,CENTRALE,MOYEN-MONO
ozVYHgNCbA,a220,t6,MARITIME,MOYEN-MONO
cmYrrTfytC,a175,t15,CENTRALE,DANYI
UMzahSeHAN,a73,t74,PLATEAUX,KERAN
xxDSHSNyyP,a4,t59,PLATEAUX,AMOU
kKWOMygLJv,a43,t19,KARA,KPENDJAL-OUEST
JHtwryoVie,a112,t50,CENTRALE,GOLFE
VBmYQKZpes,a103,t22,PLATEAUX,KPENDJAL
QeJWGbxiIf,a239,t2,KARA,OGOU
NHDTQUpmZl,a274,t75,MARITIME,KOZAH
nykhjnYqIs,a112,t75,MARITIME,OGOU
tdquKTjSND,a59,t50,MARITIME,AKEBOU
gPWJPuaXKL,a285,t41,MARITIME,VO
MlWUJdevSL,a137,t8,KARA,CINKASSE
HzfbyeIhdX,a218,t47,KARA,PLAINE DU MO
HpuVGDEgpb,a228,t83,SAVANES,TCHAOUDJO
jxjpEIXJNY,a264,t27,CENTRALE,AGOE-NYIVE
CXRpRFmPNR,a142,t9,KARA,CINKASSE
gKEWhIgzeS,a87,t70,SAVANES,PLAINE DU MO
qIBIaIrwAT,a72,t18,SAVANES,VO
hpZYPsRKBb,a169,t78,KARA,AGOU
CSVicEEHdq,a30,t69,KARA,LOME COMMUNE
siAtejNJZH,a167,t61,MARITIME,OTI
sNYouVlOpa,a289,t83,KARA,ZIO
EfjymfRMbO,a74,t35,CENTRALE,PLAINE DU MO
tbDycaGhZM,a248,t35,MARITIME,TCHAOUDJO
SMuqSKCnZA,a19,t56,KARA,BAS-MONO
LOPoEfCCUP,a109,t53,SAVANES,AGOU
SykhnUuOiy,a253,t22,KARA,GOLFE
cbtvbzbRWh,a234,t13,CENTRALE,KERAN
RMAAkWOEls,a128,t48,PLATEAUX,HAHO
QAINcQAElG,a113,t21,KARA,SOTOUBOUA
cTTmiuNsBv,a229,t7,PLATEAUX,DANYI
GAVHmzoRVT,a69,t6,KARA,KOZAH
YPFpQtnbtY,a178,t77,CENTRALE,KPELE
QVPqLwIIAe,a123,t28,PLATEAUX,AKEBOU
VWAZXcxOwE,a18,t43,PLATEAUX,LACS
vvwEzIfGpP,a68,t84,KARA,YOTO
pLeFzUJMnH,a195,t70,SAVANES,DANYI
HTNQoGUbGf,a107,t97,SAVANES,OTI-SUD
qQxTrHqklY,a74,t28,PLATEAUX,PLAINE DU MO
RPsTwWPpbu,a183,t73,KARA,KPENDJAL
OFvNEylNLu,a65,t89,SAVANES,LACS
CRNlPblBMx,a209,t6,SAVANES,BASSAR
fIEKotAegd,a108,t53,CENTRALE,KPENDJAL
nAHGdwJcGB,a176,t13,MARITIME,GOLFE
prxHvLSySc,a118,t72,SAVANES,WAWA
itEXCvgIqG,a260,t54,CENTRALE,BASSAR
friQLpxJvN,a50,t89,CENTRALE,OTI-SUD
VRuawWxKPq,a184,t50,KARA,ZIO
qCmErGAHbD,a166,t48,PLATEAUX,TCHAMBA
SRIctANnOU,a138,t38,KARA,YOTO
NWzJeACtDf,a222,t57,KARA,DOUFELGOU
RBDklSsXkt,a245,t34,KARA,AVE
uXZrufHOmE,a152,t68,SAVANES,OTI
rWDwpQNHgI,a167,t65,SAVANES,AVE
OEnehPWWpZ,a58,t51,PLATEAUX,WAWA
ogoxnXYWfc,a183,t24,SAVANES,VO
IPAwGBQiRC,a0,t85,CENTRALE,DANYI
DwekpsiydK,a38,t47,SAVANES,SOTOUBOUA
vikIMTVuec,a85,t38,CENTRALE,SOTOUBOUA
OBlBgGgjAW,a223,t84,SAVANES,YOTO
HYvKBZhHtl,a201,t38,CENTRALE,AVE
qKhUVcTwow,a262,t31,PLATEAUX,KERAN
cnJoUiEYVM,a285,t78,KARA,TCHAOUDJO
HjAIMyVzrh,a105,t78,KARA,WAWA
NfhDWwJCLO,a156,t8,SAVANES,DOUFELGOU
GjGNnFAHAd,a41,t36,SAVANES,AKEBOU
asTXooIIOV,a103,t95,MARITIME,BLITTA
EejkBiuisA,a220,t72,PLATEAUX,YOTO
IwcANTpStb,a24,t37,SAVANES,GOLFE
rjLtlefVRU,a110,t77,KARA,BASSAR
iZOtVYroJd,a217,t34,KARA,BASSAR
IneeuwqmOb,a197,t39,KARA,DANYI
NVsOXrSKam,a143,t19,CENTRALE,DANYI
TWTZnhNORc,a227,t67,KARA,KPENDJAL
QMwkYDHkof,a46,t31,CENTRALE,KPENDJAL-OUEST
UyJLCDWzzs,a275,t70,SAVANES,AKEBOU
LIjXuoqhUZ,a83,t64,MARITIME,BLITTA
KwueEyygvj,a74,t55,MARITIME,AMOU
JFGTpSDaMr,a226,t59,KARA,BASSAR
RommLgqVgK,a243,t56,PLATEAUX,WAWA
oPbUuvHBgi,a140,t26,PLATEAUX,SOTOUBOUA
iVZgDwcEYU,a250,t89,PLATEAUX,DOUFELGOU
SWrVGAUaYc,a49,t77,MARITIME,WAWA
ipXQWkpeZu,a215,t30,PLATEAUX,BLITTA
RnckHGrMqL,a92,t52,SAVANES,WAWA
IdYycyWmjl,a78,t88,SAVANES,KPELE
hjUBijNMcB,a107,t31,KARA,KPENDJAL-OUEST
jcdTKCpPut,a2,t83,KARA,BAS-MONO
amMBDBUUvV,a224,t43,SAVANES,KPENDJAL
EqZlVNJYoJ,a130,t0,CENTRALE,AMOU
rGFlLwfpcW,a276,t51,CENTRALE,TCHAOUDJO
xYCPtUqRwb,a56,t10,MARITIME,DANYI
sscGOWmTcr,a105,t72,KARA,ASSOLI
yURSuqrHbG,a37,t39,CENTRALE,OGOU
pUGyOhdpWf,a26,t76,SAVANES,MOYEN-MONO
UMmZwrOlGa,a149,t13,SAVANES,TCHAOUDJO
FxJBErMcuY,a259,t69,SAVANES,KERAN
YKlPrpQthI,a190,t69,PLATEAUX,LACS
UNxAVraCBK,a9,t49,SAVANES,KERAN
lILvNwZpJg,a156,t11,PLATEAUX,AKEBOU
ojehpQgSrl,a262,t12,PLATEAUX,DANYI
rvbTpoDiTG,a124,t59,SAVANES,AVE
uEJURlyyEs,a172,t13,PLATEAUX,TANDJOARE
lBbneyUdpV,a239,t89,SAVANES,KPENDJAL
HFuHhFZxEg,a195,t31,MARITIME,OTI-SUD
ANZEnbkmQy,a160,t19,PLATEAUX,AMOU
neJCYZVDLo,a69,t25,SAVANES,PLAINE DU MO
CWEaPfsxDd,a90,t64,SAVANES,OGOU
AaJProAtlR,a15,t86,MARITIME,TCHAMBA
ZCYZHbOtBQ,a220,t66,MARITIME,LACS
VqGWSxnoSB,a16,t18,KARA,WAWA
VHyEqlVDQc,a23,t86,PLATEAUX,WAWA
hNKyGUZvKP,a103,t91,KARA,EST-MONO
UBjPeHTMSJ,a143,t99,CENTRALE,KERAN
OtFfOxcGMu,a4,t98,MARITIME,ASSOLI
NbmtdveYjH,a165,t98,MARITIME,KERAN
aIxMhEdgXW,a241,t36,SAVANES,KPENDJAL-OUEST
oIbyXYpcAp,a63,t48,CENTRALE,KPENDJAL
ewpFeeyUAI,a60,t14,KARA,ANIE
BYchYSyqVC,a177,t40,KARA,OGOU
yrwaiovMsf,a267,t45,MARITIME,BINAH
AGdRPdgtbK,a23,t78,KARA,KOZAH
NDRsXwCDrr,a81,t63,KARA,KOZAH
KqKCqetlbu,a12,t0,PLATEAUX,LOME COMMUNE
RMiAgtyKvN,a184,t54,PLATEAUX,DANYI
asoyxgYQhT,a28,t20,MARITIME,ZIO
JyGYBsSFuk,a291,t84,KARA,BINAH
DgENjcsCZV,a208,t23,KARA,OTI-SUD
jtZLvPHdNE,a144,t55,CENTRALE,BAS-MONO
eZKTVgnWxe,a134,t59,KARA,TCHAOUDJO
byiPUgprau,a21,t40,KARA,HAHO
BvnGJfecWV,a34,t37,CENTRALE,OGOU
dsBHAdXrrk,a170,t2,PLATEAUX,DANYI
sJvqRmcCAo,a35,t34,KARA,VO
mJCEfixAoh,a234,t69,MARITIME,ZIO
dEEDaoEdqe,a243,t43,MARITIME,VO
OVOmVmrpdy,a282,t90,MARITIME,YOTO
CQEXACWfyh,a244,t40,MARITIME,KPENDJAL-OUEST
MRjyzbOAfJ,a74,t83,PLATEAUX,ZIO
FrrrxNmrzF,a194,t60,PLATEAUX,KOZAH
HAfyJgJWGA,a205,t45,PLATEAUX,OTI
jxCkQxbZYq,a52,t18,SAVANES,BINAH
CcQXgNmxnD,a164,t68,KARA,EST-MONO
kwklCJIDlS,a223,t26,CENTRALE,OGOU
frZikyfXNP,a175,t60,MARITIME,KPENDJAL
AlmSecyCrd,a197,t45,PLATEAUX,TONE
qyrGItXtmT,a34,t58,SAVANES,AVE
XXnmAmCasu,a288,t23,CENTRALE,BASSAR
TQzbSOuJSc,a146,t1,SAVANES,BASSAR
DuzPHbeKFW,a91,t40,PLATEAUX,KPENDJAL-OUEST
wATbXpdAyK,a201,t13,CENTRALE,BINAH
pRVQmupfbd,a104,t77,MARITIME,TCHAMBA
sPogoJYZEX,a12,t62,KARA,BASSAR
CmrbaxcQph,a57,t51,SAVANES,TCHAMBA
QLznuiBdoY,a2,t94,CENTRALE,WAWA
FWxsvobejh,a290,t47,MARITIME,KLOTO
wTBCLBAKSO,a246,t61,MARITIME,AGOU
FtMfdJnLrr,a80,t57,PLATEAUX,AKEBOU
oGBBNprFLK,a66,t64,MARITIME,YOTO
PcgWjDADaz,a238,t97,PLATEAUX,GOLFE
vAwnWzAdpz,a71,t23,KARA,KLOTO
rQQsMfPgER,a237,t1,CENTRALE,CINKASSE
giGYPsFMLe,a270,t2,CENTRALE,AKEBOU
ZzzawbmNfk,a58,t67,MARITIME,AGOE-NYIVE
sZtcVQzuVc,a173,t83,CENTRALE,WAWA
YUOLwOzwDb,a245,t4,SAVANES,ANIE
iLroMLiXNJ,a82,t8,MARITIME,OTI
NJqmUyFOdx,a52,t77,CENTRALE,LOME COMMUNE
dxCiYsgQro,a242,t14,KARA,EST-MONO
JWtZEHrWsR,a105,t13,PLATEAUX,BASSAR
mVhYNnciWW,a153,t98,KARA,TONE
QvkeuBfZDR,a47,t6,CENTRALE,DOUFELGOU
oSbAqwiOsw,a167,,CENTRALE,ANIE
qsjAsuFOgs,a83,t95,MARITIME,KLOTO
HbZFZzkRjc,a163,t68,KARA,BINAH
SwTJzGoKSI,a290,t97,PLATEAUX,TCHAMBA
JBdasUrdZZ,a24,t86,MARITIME,OGOU
dVEHKVyueo,a61,,MARITIME,ANIE
BQtMZqAokF,a114,t28,PLATEAUX,OGOU
lbEQqdiMiQ,a148,t73,MARITIME,LOME COMMUNE
GZzKgIdsLS,a72,t34,CENTRALE,KPELE
QtpFCmMrGc,a55,t83,SAVANES,AGOE-NYIVE
TWRFrKNwqy,a15,t58,CENTRALE,OTI-SUD
WVGemlXQsX,a191,t48,KARA,BASSAR
dyrrCwCdEP,a155,t9,CENTRALE,LACS
FUSzvJPVFA,a89,t14,MARITIME,BLITTA
SIoXRhfTSW,a71,t31,SAVANES,OGOU
TiwIWgxNDk,a96,t24,MARITIME,VO
lejpdItlwH,a188,t24,CENTRALE,OTI
IcBmDOrMRa,a207,t22,SAVANES,TONE
VaPxXuuWtZ,a246,t74,CENTRALE,YOTO
xnTULXdbpd,a121,t25,CENTRALE,BLITTA
ZldclfuucE,a135,t19,MARITIME,VO
JNywlwyguE,a165,t96,MARITIME,AKEBOU
MpwIsPXoSC,a75,t74,PLATEAUX,ASSOLI
TWqJpGQpuk,a73,t61,CENTRALE,DANYI
MmIxVLmHhY,a63,t85,MARITIME,AGOE-NYIVE
WqKloEOPlw,a39,t7,PLATEAUX,YOTO
sbMMRXHWlA,a115,t53,SAVANES,AGOU
tJJxMfkxYb,a14,t88,CENTRALE,MOYEN-MONO
dJSvXqUVSY,a278,t61,CENTRALE,AGOE-NYIVE
SsxfAtMPUp,a154,t75,CENTRALE,HAHO
lwjEmkzQNj,a15,t68,SAVANES,ASSOLI
BgBqtHgCwv,a81,t17,PLATEAUX,LACS
AaawEhhIRa,a126,t43,SAVANES,OTI-SUD
GsggmfMRqV,a253,t28,MARITIME,DOUFELGOU
GSjJugXCaq,a154,t17,KARA,LOME COMMUNE
XtBzsiKfOs,a88,t52,MARITIME,BASSAR
bMEhEdHvEx,a160,t48,KARA,HAHO
tEjmXNzgIf,a107,t91,PLATEAUX,KPENDJAL
nTcayLUbsO,a153,t94,MARITIME,TCHAMBA
djdQkxVwqo,a60,t59,MARITIME,YOTO
vwAsfYMwAB,a5,t21,SAVANES,KLOTO
leRJogPPnD,a255,t86,KARA,KLOTO
dGfPySamIT,a117,t71,SAVANES,EST-MONO
oWFozltJyI,a229,t92,SAVANES,SOTOUBOUA
YYuFHpXvOR,a243,t9,SAVANES,OTI
tJGNHwzslg,a266,t10,CENTRALE,ASSOLI
gghKDooQRp,a225,t20,SAVANES,GOLFE
DxByldiJlV,a257,t83,KARA,KPELE
KbUQFLqqFj,a56,t15,KARA,DANKPEN
XzHqYYZkNc,a122,t46,PLATEAUX,BINAH
rVDjYOUCiZ,a91,t38,MARITIME,AKEBOU
gvsutalzBt,a277,t19,MARITIME,HAHO
qtfZpgkkow,a165,t60,PLATEAUX,MOYEN-MONO
MVTAtjawTk,a220,t6,KARA,VO
FZwYwVYWzf,a270,t23,PLATEAUX,TONE
FXlARdgXWR,a142,t31,SAVANES,KPELE
WxccJpAylz,a173,t91,SAVANES,KPENDJAL
kKNTKcBBIF,a86,t0,KARA,SOTOUBOUA
EDCeUWZAJH,a77,t83,KARA,OGOU
vAkPBPIwhF,a199,t71,MARITIME,BASSAR
wtLahGMgBA,a105,t9,PLATEAUX,KLOTO
MyKGMoJmhB,a190,t67,MARITIME,DANYI
bWwiWnpWxs,a42,t65,CENTRALE,AMOU
IqWgKhGyju,a146,t2,CENTRALE,OTI-SUD
yBJaOlsnOW,a123,t65,KARA,TCHAOUDJO
WnhvhYvsWV,a75,t47,PLATEAUX,AKEBOU
CsMFeQoaLM,a268,t86,KARA,ANIE
JUHkrKtOLf,a28,t25,KARA,BAS-MONO
HdAIRIgWMB,a173,t19,CENTRALE,AGOU
rCLoXTUsJK,a120,t4,PLATEAUX,DANYI
APlaUZaAhr,a278,t52,SAVANES,CINKASSE
YhaWUvKAwO,a76,t70,CENTRALE,ZIO
hvbvXyyZQE,a184,t4,MARITIME,AKEBOU
XFhWegeEzL,a86,t22,CENTRALE,KPENDJAL-OUEST
MQHEOdAbZm,a147,t62,MARITIME,AGOU
WLjpZNuKnx,a126,t59,SAVANES,DANKPEN
SfYYdhfojI,a254,t40,SAVANES,TONE
yTuipTWBjt,a216,t69,CENTRALE,KPENDJAL-OUEST
dYwshzRseD,a219,,KARA,KOZAH
TNXtnfRBDx,a168,t70,SAVANES,KPELE
ytrjMrxzlO,a107,t23,SAVANES,BAS-MONO
ylDYDoPtpT,a254,t76,KARA,AKEBOU
DUdjnoVbNZ,a118,t31,KARA,OTI-SUD
lpAchcvhBO,a2,t99,SAVANES,KPENDJAL
PWbKsnVcyQ,a8,t99,CENTRALE,TONE
GpIDnOEdYH,a203,,MARITIME,DANYI
BTzVOXUmtE,a199,t58,CENTRALE,HAHO
AMhiFaRiXH,a29,t27,SAVANES,TONE
BPZdpnMrQX,a223,t72,PLATEAUX,DANYI
UeuReFqmqD,a191,t30,CENTRALE,HAHO
jHONfpPRYZ,a269,t18,MARITIME,KLOTO
xyMDNoyanA,a291,t56,MARITIME,KLOTO
TFuBnkwrMZ,a61,t44,KARA,BINAH
NaiBOdAXsp,a155,t36,MARITIME,BASSAR
uqloFKfVPJ,a133,t59,KARA,WAWA
UFJrnDyCIk,a48,t88,PLATEAUX,AMOU
SkbPdFPpRl,a164,t56,PLATEAUX,CINKASSE
wsWDzKQWnF,a210,,SAVANES,AGOE-NYIVE
sPDEWSCsKe,a67,t83,MARITIME,DOUFELGOU
TyWCGdMdAM,a294,t56,SAVANES,EST-MONO
GtIDsRFBJR,a18,t1,PLATEAUX,AGOU
IelBpMhHEF,a71,t48,SAVANES,ZIO
WRFtJAqJHm,a181,t8,SAVANES,KLOTO
YeTLsGkHWx,a271,t54,KARA,AGOU
ndiLZkxcOB,a52,t23,PLATEAUX,BAS-MONO
kLllsfyBzV,a174,t93,KARA,DANKPEN
FmeGrkvLDt,a225,t53,MARITIME,LACS
bONpclnWek,a53,t70,SAVANES,KERAN
duBcEisEsj,a3,t23,SAVANES,TCHAOUDJO
YagnyvHJUh,a152,t42,KARA,OTI-SUD
kNflXMaRCt,a171,t68,SAVANES,ZIO
pSwWTbHbug,a154,t61,SAVANES,SOTOUBOUA
blEUAqlsRX,a1,t30,SAVANES,TCHAOUDJO
mJWGtFIzUT,a254,t72,MARITIME,KERAN
hQKKOGXvLu,a262,t26,MARITIME,BASSAR
BWACTSbnDT,a274,t35,MARITIME,ZIO
tOcJrDRvkO,a34,t88,MARITIME,BAS-MONO
utnMALLASm,a31,t94,PLATEAUX,KLOTO
FoVXqPnuHd,a51,t21,SAVANES,KERAN
PbRfzosOyI,a36,t60,SAVANES,CINKASSE
NbhVeyXgWq,a127,t32,MARITIME,BINAH
MUtBQpFQRw,a254,t90,KARA,KPELE
KndCfBRhIJ,a136,t86,CENTRALE,ANIE
NkMsjHibBf,a2,t18,KARA,TCHAMBA
tmsNSVtcYF,a275,t9,SAVANES,OGOU
ZISgJQTIYe,a222,t29,PLATEAUX,BINAH
RVqdDcQCth,a75,t74,MARITIME,OGOU
IDphzsEknT,a281,t30,KARA,TANDJOARE
wzNphlhEzM,a207,t58,MARITIME,CINKASSE
HWtrxWlsRj,a190,t39,KARA,LOME COMMUNE
yNvBZLSwky,a204,t94,SAVANES,KLOTO
rJAPaflfZw,a47,t25,CENTRALE,VO
CRClDwftom,a78,t73,CENTRALE,HAHO
uILoiTaVlc,a31,t73,PLATEAUX,KLOTO
TzgNxHLklN,a251,t53,PLATEAUX,TCHAOUDJO
EXcbIHRxSP,a33,t75,PLATEAUX,LOME COMMUNE
irrIGcmOTM,a171,t77,KARA,SOTOUBOUA
UUXpmppfzo,a254,t60,MARITIME,AMOU
OWDaxBbECr,a9,t26,CENTRALE,GOLFE
IJhqDwilXs,a127,t99,PLATEAUX,AMOU
AwzYubLqXX,a239,t6,CENTRALE,ZIO
NJcBmmHgZl,a184,t84,PLATEAUX,EST-MONO
rirPasZoWz,a214,t67,SAVANES,AGOU
XOSvLGIFrh,a46,t77,KARA,DOUFELGOU
qyCjOyGFVC,a250,t33,KARA,TCHAOUDJO
KyrhQLqNPz,a165,t91,CENTRALE,ANIE
JCOKHWhNCl,a292,t51,PLATEAUX,KPELE
ygMEXUQDbn,a138,t36,PLATEAUX,TONE
DJbXtdBIln,a103,t33,MARITIME,KPELE
GqfQcmUGER,a50,t83,PLATEAUX,KPENDJAL
AOKYtuwRQi,a173,t40,MARITIME,ASSOLI
